

0 6.42603 6.12356 4.3704 4.19103 4.12297 4.03903
1 7.55475 6.3418 6.20682 5.5604 4.31776 4.20027
2 0.243814 0.220946 0.167458 0.158025 0.151573 0.144401
3 0.0033522 0.00296464 0.00233391 0.00217894 0.00206438 0.00193748
4 0.0881079 0.0754995 0.0674466 0.0623562 0.0574856 0.0529689
5 0.0988139 0.0858383 0.0769958 0.0715526 0.0661701 0.060157
6 0.0348303 0.0296196 0.0254486 0.0233339 0.0212506 0.0194183
7 0.00162836 0.00141067 0.001147 0.00106236 0.0009943 0.000924094
8 0.00174986 0.00150692 0.00135473 0.00124676 0.00115343 0.00106219
9 0.00202944 0.00177103 0.00159613 0.00148137 0.00134236 0.00123892
10 0.00100598 0.000861776 0.000760131 0.000706311 0.000640037 0.000582014
11 0.000129067 0.000110241 9.45658e-05 8.66897e-05 7.90674e-05 7.22678e-05
12 3.5694e-05 3.12727e-05 2.80219e-05 2.5845e-05 2.36859e-05 2.19275e-05
13 4.33631e-05 3.78385e-05 3.40721e-05 3.14115e-05 2.86422e-05 2.63389e-05
14 2.58457e-05 2.21951e-05 1.98608e-05 1.82478e-05 1.66049e-05 1.52491e-05
15 5.58164e-06 4.77773e-06 4.21031e-06 3.83376e-06 3.49874e-06 3.17116e-06


Peak Node Voltages
==================
0 0.7 0
1 0.641815 8.3122
2 0.666243 4.82239
3 0.682248 2.536
4 0.7 0
5 0.614544 12.208
6 0.599021 14.4256
7 0.643168 8.11888
8 0.672562 3.91976
9 0.7 0
10 0.623729 10.8958
11 0.609661 12.9055
12 0.648497 7.3576
13 0.674664 3.61947
14 0.7 0
15 0.624374 10.8038
16 0.610691 12.7585
17 0.649556 7.20623
18 0.675627 3.48185
19 0.7 0
20 0.696828 0.453125
21 0.696634 0.480924
22 0.69738 0.374305
23 0.698502 0.214036
24 0.7 0
25 0.699665 0.0478994
26 0.699633 0.0523754
27 0.699708 0.0416588
28 0.699831 0.0241887
29 0.7 0
30 0.699959 0.00580471
31 0.699955 0.00640059
32 0.699964 0.00512789
33 0.699979 0.00299547
34 0.7 0
35 0.699995 0.000762105
36 0.699994 0.000857621
37 0.699995 0.000706449
38 0.699997 0.000428636
39 0.7 0
40 0.685156 2.12055
41 0.670635 4.19506
42 0.674641 3.62272
43 0.680323 2.81098
44 0.678554 3.06375
45 0.651287 6.95899
46 0.643316 8.09773
47 0.657877 6.01758
48 0.672359 3.94868
49 0.676277 3.38904
50 0.655255 6.39215
51 0.648359 7.37731
52 0.661125 5.55352
53 0.674911 3.58412
54 0.677317 3.24036
55 0.655159 6.40589
56 0.648988 7.28748
57 0.662273 5.38955
58 0.677306 3.24204
59 0.689973 1.43248
60 0.693848 0.878802
61 0.69569 0.615716
62 0.697002 0.428245
63 0.698124 0.267971
64 0.699057 0.134652
65 0.69936 0.0913601
66 0.699527 0.0676086
67 0.699661 0.0484447
68 0.699784 0.030926
69 0.699889 0.0158968
70 0.699923 0.011018
71 0.699942 0.00827415
72 0.699958 0.00599159
73 0.699973 0.00386085
74 0.699986 0.00201399
75 0.69999 0.00142929
76 0.699992 0.00110498
77 0.699994 0.000833639
78 0.699996 0.000579793
79 0.699997 0.000370091
80 0.684822 2.16823
81 0.680896 2.72911
82 0.681173 2.68962
83 0.682022 2.56833
84 0.678919 3.01159
85 0.668684 4.47374
86 0.66502 4.99716
87 0.670485 4.21647
88 0.675147 3.55044
89 0.675674 3.47517
90 0.670118 4.26892
91 0.66734 4.6657
92 0.672131 3.98129
93 0.677914 3.15512
94 0.677089 3.27294
95 0.66991 4.29859
96 0.667736 4.60915
97 0.673204 3.82805
98 0.681327 2.66763
99 0.688726 1.61057
100 0.692896 1.0148
101 0.695271 0.67553
102 0.696812 0.455434
103 0.697933 0.295229
104 0.698744 0.179415
105 0.699192 0.115376
106 0.699452 0.0783245
107 0.699625 0.0536356
108 0.699754 0.035206
109 0.699848 0.0216596
110 0.699901 0.0141079
111 0.699932 0.00969497
112 0.699953 0.00670967
113 0.699969 0.00444638
114 0.699981 0.00276789
115 0.699987 0.00183756
116 0.699991 0.0013005
117 0.699993 0.000944204
118 0.699995 0.000687409
119 0.699996 0.000530766
120 0.688403 1.65671
121 0.686935 1.86638
122 0.68651 1.92718
123 0.686109 1.98438
124 0.684179 2.2602
125 0.679477 2.93186
126 0.677559 3.20589
127 0.679489 2.93021
128 0.680767 2.7475
129 0.681129 2.69591
130 0.679225 2.96779
131 0.678547 3.0647
132 0.680598 2.77174
133 0.68307 2.41864
134 0.68242 2.51136
135 0.679624 2.91084
136 0.678809 3.02727
137 0.681451 2.64984
138 0.686052 1.99263
139 0.690697 1.32903
140 0.693733 0.895349
141 0.695682 0.616873
142 0.697038 0.423203
143 0.698051 0.278401
144 0.698792 0.172591
145 0.699212 0.112522
146 0.699463 0.0767593
147 0.699632 0.0526229
148 0.699758 0.0346392
149 0.69985 0.0214502
150 0.699901 0.0140738
151 0.699932 0.00969818
152 0.699953 0.00671269
153 0.699969 0.00445171
154 0.699981 0.00277651
155 0.699987 0.00185447
156 0.699991 0.00131662
157 0.699993 0.000956243
158 0.699995 0.000695584
159 0.699996 0.000535212
160 0.693442 0.936808
161 0.691919 1.15444
162 0.691175 1.26075
163 0.69104 1.28006
